District,Total_Positive_Cases,Date
South Andaman,11,11-04-2020
Anantapur,13,11-04-2020
Chittoor,19,11-04-2020
East Godavari,12,11-04-2020
Guntur,51,11-04-2020
Y.S.R.,30,11-04-2020
Krishna,35,11-04-2020
Kurnool,75,11-04-2020
Nellore,48,11-04-2020
Prakasam,38,11-04-2020
Visakhapatnam,20,11-04-2020
West Godavari,22,11-04-2020
Lohit,1,11-04-2020
Cachar,1,11-04-2020
Dhubri,2,11-04-2020
Goalpara,3,11-04-2020
Golaghat,9,11-04-2020
Hailakandi,1,11-04-2020
Kamrup,1,11-04-2020
Kamrup Metropolitan,1,11-04-2020
Karimganj,1,11-04-2020
Lakhimpur,1,11-04-2020
Marigaon,4,11-04-2020
Nalbari,4,11-04-2020
S Mancachar,1,11-04-2020
Begusarai,5,11-04-2020
Bhagalpur,1,11-04-2020
Gaya,5,11-04-2020
Gopalganj,3,11-04-2020
Lakhisarai,1,11-04-2020
Munger,8,11-04-2020
Nalanda,1,11-04-2020
Nawada,1,11-04-2020
Patna,5,11-04-2020
Saran,1,11-04-2020
Siwan,29,11-04-2020
Chandigarh,18,11-04-2020
Bilaspur,1,11-04-2020
Durg,1,11-04-2020
Korba,2,11-04-2020
Raipur,5,11-04-2020
Rajnandgaon,1,11-04-2020
Central Delhi,19,11-04-2020
East Delhi,17,11-04-2020
New Delhi,17,11-04-2020
North Delhi,21,11-04-2020
North East Delhi,12,11-04-2020
North West Delhi,12,11-04-2020
Shahadara,26,11-04-2020
South Delhi,332,11-04-2020
South East,26,11-04-2020
South West Delhi,16,11-04-2020
West Delhi,25,11-04-2020
North Goa,6,11-04-2020
South Goa,1,11-04-2020
Ahmedabad,134,11-04-2020
Anand,2,11-04-2020
Bhavnagar,18,11-04-2020
Chhota Udepur,2,11-04-2020
Dahod,1,11-04-2020
Gandhinagar,13,11-04-2020
Gir Somnath,2,11-04-2020
Jamnagar,1,11-04-2020
Kachchh,2,11-04-2020
Mahesana,2,11-04-2020
Morbi,1,11-04-2020
Panchmahal,1,11-04-2020
Patan,5,11-04-2020
Porbandar,3,11-04-2020
Rajkot,11,11-04-2020
Sabarkantha,1,11-04-2020
Surat,24,11-04-2020
Vadodara,18,11-04-2020
Ambala,4,11-04-2020
Bhiwani,2,11-04-2020
Charkhi Dadri,1,11-04-2020
Faridabad,28,11-04-2020
Fatehabad,1,11-04-2020
Gurgaon,32,11-04-2020
Hisar,1,11-04-2020
Jind,1,11-04-2020
Kaithal,2,11-04-2020
Karnal,5,11-04-2020
Nuh,38,11-04-2020
Palwal,28,11-04-2020
Panchkula,2,11-04-2020
Panipat,4,11-04-2020
Rohtak,1,11-04-2020
Sirsa,3,11-04-2020
Sonipat,2,11-04-2020
Chamba,4,11-04-2020
Kangra,4,11-04-2020
Sirmaur,7,11-04-2020
Solan,7,11-04-2020
Una,6,11-04-2020
Badgam,10,11-04-2020
Bandipora,36,11-04-2020
Baramula,25,11-04-2020
Ganderbal,2,11-04-2020
Jammu,18,11-04-2020
Kulgam,3,11-04-2020
Kupwara,8,11-04-2020
Pulwama,3,11-04-2020
Rajouri,3,11-04-2020
Shupiyan,13,11-04-2020
Srinagar,50,11-04-2020
Udhampur,11,11-04-2020
Bokaro,5,11-04-2020
Hazaribagh,1,11-04-2020
Ranchi,7,11-04-2020
Bagalkot,8,11-04-2020
Ballari,6,11-04-2020
Bbmp,45,11-04-2020
Belgaum,10,11-04-2020
Bangalore Rural,2,11-04-2020
Bangalore Urban,24,11-04-2020
Bidar,10,11-04-2020
Chikkaballapur,9,11-04-2020
Dakshin Kannada,12,11-04-2020
Davanagere,3,11-04-2020
Dharwad,2,11-04-2020
Gadag,1,11-04-2020
Gulbarga,9,11-04-2020
Kodagu,1,11-04-2020
Mandya,5,11-04-2020
Mysuru,37,11-04-2020
Tumakuru,1,11-04-2020
Udupi,3,11-04-2020
Uttara Kannada,9,11-04-2020
Alappuzha,5,11-04-2020
Cannanore,64,11-04-2020
Ernakulam,24,11-04-2020
Idukki,9,11-04-2020
Kasaragode,155,11-04-2020
Kollam,9,11-04-2020
Kottayam,6,11-04-2020
Kozhicode,15,11-04-2020
Malappuram,17,11-04-2020
Palakkad,7,11-04-2020
Pathanamthitta,14,11-04-2020
Thiruvananthapuram,15,11-04-2020
Thrissur,14,11-04-2020
Wayanad,3,11-04-2020
Kargil,3,11-04-2020
Leh (Ladakh),12,11-04-2020
